"ID";"a1.trabajo";"a2.contrato";"a3.empleador";"a4.areatrabajo";"a5.precovid";"a6.motivo";"a7.busca";"a8.modalidad";"a9.carga";"a10.situacion";"a11.desempeño";"b1.estudio";"b2.material";"b2.dejar";"b2.adapta";"b2.internet";"b2.institucion";"b2.profes";"b2.compu";"c1.barrer";"c1.basura";"c1.cocinar";"c1.adultos";"c1.mascotas";"c1.niñxs";"c1.loza";"c1.ropa";"c1.baños";"c1.ordenar";"c1.compras";"c2.internet";"c2.patio";"c2.nhabs";"c2.equipos";"c2.thabs";"c2.ubicacion";"c3.npersonas";"c4.habitantes";"c4.abuelxs";"c4.amigxs";"c4.arrendatarixs";"c4.pareja";"c4.hermanxs";"c4.padres";"c4.hijxs";"c4.otrxs";"c5.aumento";"c5.mujeres";"c5.gusta";"c5.apoyo";"c5.tiempo";"c5.unicx";"c6.nhijxs";"c7.recreacion";"c7.union";"c7.tiempo";"c7.comunicacion";"c7.confianza";"c7.preocupacion";"c7.conflictos";"d1.angustia";"d1.ansiedad";"d1.estres";"d1.frustracion";"d1.incertidumbre";"d1.enojo";"d1.miedo";"d1.soledad";"d1.tristeza";"d2.atencion";"d3.farmacos";"d4.tratamiento";"e1.pareja";"e2.cambio";"e3.enojos";"e3.lesionarme";"e3.golpes";"e3.gritos";"e3.terceros";"e3.humilla";"e3.insulta";"e3.respeto";"e3.peligro";"e4.conversa";"e5.denuncia1";"e6.institucion";"e6.carchi";"e7.violencia";"e8.denuncia2";"f1.moviliza";"f1.gobierno";"f1.justicia";"f1.ddhh";"f1.migra";"f1.policias";"f1.apoyos";"f1.expulsion";"f1.pensiones";"f1.apruebo";"sexo";"edad";"comunares";"paisnac";"regionnac";"estudios";"ingresos";"cambioingreso";"bonos";"bonos.caja";"bonos.ife";"bonos.minimo";"bonos.covid";"bonos.media";"bonos.none";"salir"
"69";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo dependiente";"Cierre del establecimiento";"No";NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"1-2 horas";"0 horas";"1-2 horas";"0 horas";"3-5 horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"Regular";"Regular";"Bueno";"Regular";"Regular";"Regular";"3";"Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;0;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"0";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Aumentó";"Casi nunca";"A veces";"Frecuentemente";"A veces";"Casi nunca";"Frecuentemente";"Casi nunca";"Casi nunca";"Casi nunca";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Sí";"No";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Otro";25;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Han disminuido fuertemente";"Caja familiar (mercadería)";1;0;0;0;0;0;1
"70";"Trabajo dependiente";"Planta o Contrata (estatuto administrativo)";"Estatal";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado considerablemente";"Regular";"Muy de acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"1-2 horas";"6-10 horas";"0 horas";"6-10 horas";"0 horas";"6-10 horas";"3-5 horas";"3-5 horas";"3-5 horas";"1-2 horas";"Regular";"Excelente";"Excelente";"Bueno";"Bueno";"Regular";"3";"Cónyuge, pareja o conviviente;Padre y/o madre";0;0;0;1;0;1;0;0;"Muy de acuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"2";"Disminuyó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Disminuyó";"Aumentó";"A veces";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"Tal vez";"No";"Si, pero con algunas dificultades";"Matrimonio";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Nunca";"No";"No";NA;0;"No";NA;"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Mujer";50;"Iquique";"Chile";"Tarapaca";"Universitaria completa";"$450.000 - $750.000";"Han disminuido levemente";NA;0;0;0;0;0;1;1
"71";"Trabajo independiente o por cuenta propia";"No tengo contrato de trabajo";"Estatal";NA;"Trabajo independiente o por cuenta propia";"Soy independiente falta de trabajo";"Si";NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"0 horas";"0 horas";"1-2 horas";"3-5 horas";"3-5 horas";"3-5 horas";"3-5 horas";"Bueno";"Malo";"Bueno";"Excelente";"Bueno";"Bueno";"2";"Hijo(s) y/o hija(s)";0;0;0;0;0;0;1;0;"De acuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"De acuerdo";"2";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Aumentó";"Disminuyó";"A veces";"Casi nunca";"Siempre";"Frecuentemente";"Siempre";"A veces";"Nunca";"A veces";"A veces";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"No";NA;"Absolutamente de acuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";52;"Iquique";"Chile";"Metropolitana";"Media completa";"Menos de $150.000";"Han disminuido fuertemente";NA;0;0;0;0;0;1;7
"72";"Trabajo dependiente";"Contrato indefinido";"Privada";"Transporte de carga y/o pasajeros";"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente presencial";"Se ha mantenido igual";"Muy buena";"En desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"Bueno";"Regular";"Regular";"Bueno";"Regular";"Bueno";"5 o más";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s)";0;0;0;1;0;0;1;0;"En desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"3";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Matrimonio";"Ha mejorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Hombre";41;"Iquique";"Chile";"Antofagasta";"Técnica incompleta";"$750.000 - $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"73";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo dependiente";"Suspensión de contrato";"No";NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"1-2 horas";"6-10 horas";"1-2 horas";"0 horas";"1-2 horas";"3-5 horas";"1-2 horas";"3-5 horas";"3-5 horas";"Bueno";"Malo";"Bueno";"Bueno";"Regular";"Regular";"5 o más";"Cónyuge, pareja o conviviente;Padre y/o madre;Abuelo(s) y/o abuela(s)";1;0;0;1;0;1;0;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"2";"Disminuyó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Frecuentemente";"Siempre";"Siempre";"Frecuentemente";"Siempre";"Siempre";"A veces";"Frecuentemente";"Siempre";"Sí";"Sí";"No estaba en ningún tratamiento antes de la pandemia";"Convivente Civil";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Casi siempre";"Nunca";"No";"No";NA;0;"Sí";"No";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Muy de acuerdo";"Mujer";49;"Iquique";"Chile";"Antofagasta";"Media completa";"$300.000 - $450.000";"Han disminuido fuertemente";"Ingreso mínimo garantizado";0;0;1;0;0;0;2
"74";"Trabajo independiente o por cuenta propia";"No tengo contrato de trabajo";"Hogar particular";NA;"Trabajo dependiente";"Término del trabajo o servicio que originó el contrato";"No";NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"Bueno";"Regular";"Malo";"Regular";"Malo";"Regular";"2";"Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;0;0;"Muy en desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"De acuerdo";"0";"Disminuyó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Nunca";"Nunca";"A veces";"A veces";"Nunca";"A veces";"Nunca";"A veces";"A veces";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha empeorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"No";"No";NA;0;"No";NA;"De acuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Hombre";19;"Iquique";"Chile";"Tarapaca";"Media completa";"No tuve ingresos";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"75";"Trabajo independiente o por cuenta propia";"Contrato a honorarios";"Estatal";NA;"Trabajo independiente o por cuenta propia";"No he perdido mi fuente laboral";NA;"Mayormente con teletrabajo";"Se ha mantenido igual";"Buena";"En desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"0 horas";"1-2 horas";"1-2 horas";"0 horas";"0 horas";"3-5 horas";"1-2 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"Excelente";"Malo";"Bueno";"Bueno";"Regular";"Regular";"3";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s);Padre y/o madre";0;0;0;1;0;1;1;0;"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"1";"Disminuyó";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Casi nunca";"A veces";"Casi nunca";"Casi nunca";"A veces";"Casi nunca";"Nunca";"Nunca";"Casi nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Matrimonio";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente en desacuerdo";"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Mujer";38;"Iquique";"Chile";"Tarapaca";"Técnica completa";"$750.000 - $1.500.000";"Han disminuido levemente";"Bono Covid-19";0;0;0;1;0;0;0
"76";"Trabajo dependiente";"Contrato plazo fijo";"Estatal";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado considerablemente";"Regular";"De acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"3-5 horas";"21 o más horas";"0 horas";"6-10 horas";"1-2 horas";"3-5 horas";"3-5 horas";"1-2 horas";"3-5 horas";"3-5 horas";"Malo";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"5 o más";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s);Hermano(s) y/o hermana(s);Padre y/o madre;primo y sobrino y sobrina nieta";0;0;0;1;1;1;1;1;"Muy de acuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"2";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Frecuentemente";"Frecuentemente";"Siempre";"Frecuentemente";"Siempre";"Siempre";"A veces";"A veces";"A veces";"Sí";"Sí";"No estaba en ningún tratamiento antes de la pandemia";"Convivente Civil";"Ha mejorado levemente";"A veces";"Casi nunca";"Casi nunca";"Nunca";"Nunca";"A veces";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"Sí";"No";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";40;"Iquique";"Chile";"Tarapaca";"Postgrado";"$450.000 - $750.000";"Han disminuido fuertemente";"Clase media ($500.000)";0;0;0;0;1;0;0
"77";"Trabajo dependiente";"Contrato indefinido";"Privada";"Transporte de carga y/o pasajeros";"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Mayormente presencial";"Ha disminuido considerablemente";"Regular";"Absolutamente en desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"1-2 horas";"11-20 horas";"0 horas";"3-5 horas";"0 horas";"3-5 horas";"6-10 horas";"3-5 horas";"3-5 horas";"3-5 horas";"Excelente";"Bueno";"Excelente";"Excelente";"Excelente";"Excelente";"4";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s)";0;0;0;1;0;0;1;0;"En desacuerdo";"En desacuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"4";"Disminuyó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Disminuyó";"A veces";"A veces";"A veces";"A veces";"A veces";"Casi nunca";"A veces";"Nunca";"A veces";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Matrimonio";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";57;"Otro";"Chile";"Metropolitana";"Técnica completa";"$450.000 - $750.000";"Han disminuido fuertemente";NA;0;0;0;0;0;1;2
"78";"Trabajo dependiente";"Planta o Contrata (estatuto administrativo)";"Estatal";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Se ha mantenido igual";"Buena";"Absolutamente en desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"6-10 horas";"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"3-5 horas";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"5 o más";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s)";0;0;0;1;0;0;1;0;"En desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"3";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Disminuyó";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Matrimonio";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Mujer";52;"Iquique";"Chile";"Antofagasta";"Postgrado";"Más de $1.500.000";"Han disminuido levemente";NA;0;0;0;0;0;1;1
"79";"Trabajo dependiente";"Contrato plazo fijo";"Privada";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Mayormente presencial";"Ha disminuido levemente";"Regular";"En desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"0 horas";"0 horas";"3-5 horas";"0 horas";"0 horas";"6-10 horas";"3-5 horas";"3-5 horas";"0 horas";"1-2 horas";"1-2 horas";"Bueno";"Malo";"Regular";"Bueno";"Regular";"Bueno";"4";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s)";0;0;0;1;0;0;1;0;"En desacuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"3";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"A veces";"A veces";"A veces";"Casi nunca";"A veces";"Casi nunca";"A veces";"Casi nunca";"Casi nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Convivente Civil";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Casi siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"Mujer";37;"Iquique";"Venezuela";"Otra";"Universitaria completa";"$450.000 - $750.000";"Se han mantenido igual";"Caja familiar (mercadería)";1;0;0;0;0;0;3
"80";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Empresa o negocio (individual o familiar)";"No he perdido mi fuente laboral";NA;"Completamente presencial";"Ha disminuido considerablemente";"Regular";"Absolutamente de acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"3-5 horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"1-2 horas";"3-5 horas";"Bueno";"Malo";"Bueno";"Bueno";"Malo";"Bueno";"3";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s)";0;0;0;1;0;0;1;0;"De acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"3";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"A veces";"A veces";"A veces";"Casi nunca";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"Sí";"Sí";"Si, pero con algunas dificultades";"Pololeo o noviazgo";"Ha mejorado levemente";"Nunca";"Nunca";"Nunca";"Casi nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Hombre";46;"Iquique";"Chile";"Tarapaca";"Media completa";"$450.000 - $750.000";"Han disminuido levemente";"Clase media ($500.000)";0;0;0;0;1;0;2
"81";"Trabajo dependiente";"Planta o Contrata (estatuto administrativo)";"Estatal";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Se ha mantenido igual";"Buena";"En desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"1-2 horas";"1-2 horas";"0 horas";"6-10 horas";"6-10 horas";"1-2 horas";"3-5 horas";"1-2 horas";"1-2 horas";"1-2 horas";"Bueno";"Regular";"Bueno";"Bueno";"Bueno";"Bueno";"3";"Cónyuge, pareja o conviviente;Padre y/o madre";0;0;0;1;0;1;0;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"2";"Disminuyó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"A veces";"A veces";"Casi nunca";"Nunca";"Siempre";"Nunca";"A veces";"Nunca";"A veces";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Matrimonio";"Ha mejorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";44;"Iquique";"Chile";"Metropolitana";"Postgrado";"$750.000 - $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;1
"82";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Empresa o negocio (individual o familiar)";"Término del trabajo o servicio que originó el contrato";"No";NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"6-10 horas";"6-10 horas";"0 horas";"0 horas";"3-5 horas";"0 horas";"3-5 horas";"3-5 horas";"3-5 horas";"3-5 horas";"3-5 horas";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"Malo";"3";"Hijo(s) y/o hija(s);Hermano(s) y/o hermana(s)";0;0;0;0;1;0;1;0;"De acuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Muy en desacuerdo";"0";"Se mantuvo igual";"Aumentó";"Aumentó";"Se mantuvo igual";"Aumentó";"Aumentó";"Se mantuvo igual";"Frecuentemente";"Siempre";"Siempre";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"Frecuentemente";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Nunca";"No";"No";NA;0;"Sí";"No";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"En desacuerdo";"Hombre";20;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Han disminuido fuertemente";"Caja familiar (mercadería)";1;0;0;0;0;0;2
"83";"Trabajo independiente o por cuenta propia";"Independiente (dueño o socio de empresas, sociedades u otros negocios)";NA;NA;"Trabajo independiente o por cuenta propia";"Complicado el trabajo de taxis";"No";NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"3-5 horas";"1-2 horas";"11-20 horas";"0 horas";"11-20 horas";"0 horas";"3-5 horas";"3-5 horas";"3-5 horas";"6-10 horas";"6-10 horas";"Bueno";"Malo";"Bueno";"Bueno";"Bueno";"Bueno";"1";"Hijo(s) y/o hija(s)";0;0;0;0;0;0;1;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"1";"Aumentó";"Se mantuvo igual";"Aumentó";"Aumentó";"Se mantuvo igual";"Disminuyó";"Disminuyó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Sí";"Sí";"No he podido continuar el tratamiento";"Otra relación afectiva";"Ha empeorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";50;"Iquique";"Chile";"Tarapaca";"Técnica completa";"$450.000 - $750.000";"Han disminuido fuertemente";"Ingreso familiar de emergencia";0;1;0;0;0;0;3
